Date,Close,Volume,mom1,mom3,ROC_15,EMA_20,Oil,Gold,DAAA,AAPL,JNJ,XOM,TE1,DE1,S&P-F,Dollar index-F
2010-02-12,1075.51001,-0.0545778448,0.0096804377,0.013040133,-1.4884223503,1092.71538954,-0.0148876778,0.0053426249,5.41,0.0086072131,-0.0030201717,-0.0067442522,3.65,1.0,0.22,0.39
2010-02-16,1094.869995,-0.0192059952,-0.0027445929,-0.0022325738,-0.1741492323,1092.92059006,0.0387262178,0.0307301294,5.39,0.0150713801,0.0141900508,0.0228394434,3.62,1.0,1.32,-0.86
2010-02-17,1099.51001,0.0437319427,0.0180007483,0.0096804377,0.6720534078,1093.54815386,0.0037672123,0.0033624748,5.46,-0.0041789038,0.0058166797,-0.0078454588,3.67,1.01,0.57,0.9
2010-02-18,1106.75,-0.0893612226,0.0042379598,-0.0027445929,0.8428246014,1094.80547254,0.0220007765,-0.000893655,5.49,0.0018760552,0.0085964208,0.0030413168,3.72,1.02,0.55,0.0
2010-02-19,1109.170044,0.0169287014,0.0065847422,0.0180007483,2.2719532278,1096.17352697,0.0101304293,-0.0046958855,5.43,-0.0062090721,-0.0111575703,-0.0013644027,3.72,1.0,0.07,0.31
2010-02-22,1108.01001,-0.0329185555,0.0021866221,0.0042379598,3.1791571754,1097.30081107,0.0033847311,0.0022466861,5.45,-0.00619823,-0.0050148722,-0.0071352813,3.74,1.0,0.11,-0.17
2010-02-23,1094.599976,0.185246065,-0.0010458577,0.0065847422,0.4967026224,1097.04358868,-0.017866067,-0.0073974445,5.33,-0.0167647943,-0.0028351078,-0.0070336389,3.61,1.01,-0.93,0.41
2010-02-24,1105.23999,-0.0780106391,-0.0121028094,0.0021866221,0.1740242263,1097.82419833,0.0145019718,-0.0036133695,5.32,0.0182685582,0.002211341,0.0093933012,3.62,1.03,0.57,0.01
2010-02-25,1102.939941,0.0846304062,0.0097204588,-0.0010458577,0.5158129056,1098.31141192,-0.0220689655,-0.0077062557,5.26,0.0066779777,-0.0026793065,-0.0062548281,3.55,1.02,-0.11,-0.07
2010-02-26,1104.48999,-0.1273885069,-0.0020810403,-0.0121028094,3.8923540917,1098.89984792,0.0221823311,0.0125628141,5.21,0.0129702722,-0.004424763,-0.0021492018,3.52,1.02,0.11,-0.52
2010-03-01,1115.709961,-0.0247263123,0.0014053793,0.0097204588,4.6445776776,1100.50081107,-0.0126693427,0.00518836,5.22,0.0213567055,0.0061904603,0.0061538769,3.53,1.04,1.0,0.32
2010-03-02,1118.310059,0.074601574,0.0101585085,-0.0020810403,5.8264161083,1102.19692992,0.011561428,0.0112208259,5.23,-0.000669922,0.000788768,0.0013760856,3.53,1.03,0.27,-0.15
2010-03-03,1118.790039,-0.0443468418,0.0023304426,0.0014053793,4.5090253427,1103.77722603,0.0162019593,0.0088770528,5.25,0.0022982859,-0.0006304697,-0.0009161399,3.54,1.01,0.09,-0.69
2010-03-04,1122.969971,-0.0015969347,0.0004292012,0.0101585085,5.1342033033,1105.6051065,-0.0086515882,-0.0017597888,5.22,0.0065925,0.0026813564,-0.0004584747,3.52,1.01,0.34,0.7
2010-03-05,1138.699951,0.0476526042,0.0037361184,0.0023304426,5.584761896,1108.75699645,0.0160827827,0.0004407228,5.29,0.0391058843,0.0073934403,0.0163608405,3.59,1.01,1.27,-0.15
2010-03-08,1138.5,-0.0866973143,0.0140074805,0.0004292012,5.8567553453,1111.58966346,0.0042944785,-0.0081497797,5.29,0.0005936972,0.002498376,0.0001504739,3.62,1.02,0.04,-0.01
2010-03-09,1140.449951,0.3737773798,-0.0001755959,0.0037361184,4.1630473214,1114.33826227,-0.0042761148,-0.0088829669,5.29,0.0179843578,0.0010903427,0.004512575,3.59,1.03,0.31,0.2
2010-03-10,1145.609985,0.0546805848,0.0017127369,0.0140074805,4.1927744705,1117.31652158,0.006993865,0.0042572261,5.3,0.00816064,0.0003112494,0.0065888291,3.61,1.02,0.46,-0.17
2010-03-11,1150.23999,-0.1462867884,0.0045245598,-0.0001755959,3.9295224757,1120.45209,0.0003655416,-0.0147255689,5.28,0.002935492,-0.0010888163,0.0,3.61,1.01,0.41,-0.2
2010-03-12,1149.98999,0.0554929686,0.0040415194,0.0017127369,3.6802243462,1123.26522333,-0.0102314251,0.0020380435,5.24,0.004878022,-0.0006228745,-0.0062481106,3.61,1.02,0.07,-0.59
2010-03-15,1150.51001,-0.1550375799,-0.0002173459,0.0045245598,3.8357054193,1125.85996492,-0.0180900812,-0.0018079096,5.25,-0.0121800925,0.0060766594,-0.0074850296,3.6,1.02,-0.09,0.41
2010-03-16,1159.459961,0.0493887049,0.0004521952,0.0040415194,5.9254509796,1129.05996455,0.0245644818,0.0185646366,5.2,0.0027251654,-0.0006194982,0.0040723528,3.52,1.01,0.8,-0.21
2010-03-17,1166.209961,0.1358034862,0.0077791162,-0.0002173459,5.5164463421,1132.59805945,0.0144342508,-0.0026672594,5.18,-0.0014702339,0.0018596467,0.0118672225,3.52,1.0,0.54,-0.19
2010-03-18,1165.829956,-0.1468185848,0.0058216758,0.0004521952,5.7020344139,1135.76300198,-0.0092849391,0.0008914642,5.21,0.0023647956,0.0063417786,0.0004453385,3.54,0.99,0.02,0.74
2010-03-19,1159.900024,0.2309358108,-0.0003258461,0.0077791162,5.0167982057,1138.06176598,-0.0192307692,-0.0153640615,5.2,-0.0106832807,0.0007685675,-0.0051936193,3.57,0.99,0.6,0.66
2010-03-22,1165.810059,-0.1823973939,-0.0050864468,0.0058216758,4.4904231163,1140.70446055,0.0084388186,-0.0074626866,5.19,0.0112485984,-0.0001536323,-0.0010441527,3.54,0.98,-0.93,-0.11
2010-03-23,1174.170044,0.035188001,0.0050952969,-0.0003258461,4.9950355494,1143.89165898,0.0051685946,0.0038733197,5.22,0.0160622513,0.0039939018,-0.0002987009,3.58,0.98,0.65,0.3
2010-03-24,1167.719971,0.0666668178,0.0071709666,-0.0050864468,4.3734686844,1146.16102203,-0.0170176298,-0.009759419,5.34,0.0044228807,-0.0093329405,-0.0067213894,3.72,0.98,-0.43,1.22
2010-03-25,1165.72998,0.2046751315,-0.005493304,0.0050952969,3.8077606797,1148.02473231,-0.000498194,0.0020628008,5.4,-0.0118585865,-0.0027799228,-0.0030074737,3.79,0.98,-0.15,0.37
2010-03-26,1166.589966,-0.1694296954,-0.001704168,0.0071709666,2.4492856942,1149.7928498,-0.0062305296,0.0032021958,5.35,0.0187513834,-0.0029425894,0.0036198792,3.75,1.0,0.06,-0.52
2010-03-29,1173.219971,-0.0706903802,0.0007377232,-0.005493304,3.0496241546,1152.0240042,0.0272100313,0.0100319197,5.37,0.0064529754,0.0068344675,0.0114217311,3.77,1.0,0.45,-0.44
2010-03-30,1173.27002,-0.0664094817,0.0056832351,-0.001704168,2.8778175641,1154.04743428,0.0026855469,-0.0004514673,5.37,0.0148887738,0.0012342178,-0.0037147101,3.75,0.99,0.06,0.15
2010-03-31,1169.430054,0.0977576499,4.26595193033e-05,0.0007377232,2.079247677,1155.51244568,0.0159483808,0.0076784101,5.32,-0.0036039094,0.004622419,-0.001043997,3.69,0.99,-0.36,-0.55
2010-04-01,1178.099976,-0.1064749774,-0.0032728749,0.0056832351,2.4221020172,1157.66363904,0.0129418814,0.0071716719,5.33,0.0041275871,0.0087423317,0.0094057625,3.73,1.0,0.73,-0.39
2010-04-05,1187.439941,-0.031258813,0.0074138013,4.26595193033e-05,3.2565458244,1160.49947733,0.0216491187,-1.0,5.44,0.0106793536,-0.0056255894,0.0085786273,3.85,1.0,0.79,-0.23
2010-04-06,1189.439941,0.052699646,0.0079279901,-0.0032728749,3.3837107597,1163.25571196,0.0020842983,0.0,5.45,0.0044027297,-0.0013762079,-0.0042528229,3.81,0.99,0.23,0.39
2010-04-07,1182.449951,0.2484594413,0.0016842957,0.0074138013,1.9828187927,1165.08373473,-0.0103998151,0.0081659678,5.34,0.0044251314,-0.0013779973,-0.0082475108,3.73,0.99,-0.57,0.05
2010-04-08,1186.439941,-0.0734029478,-0.005876707,0.0079279901,1.734677346,1167.11765913,-0.0054880897,0.0052539405,5.35,-0.0027015752,-0.0044465041,0.0077220824,3.75,0.99,0.4,0.11
2010-04-09,1194.369995,-0.0455683027,0.0033743415,0.0016842957,2.4480447473,1169.71311969,-0.0066924974,0.0039198606,5.34,0.0076682308,0.0032342369,0.013262614,3.74,0.99,0.74,-0.56
2010-04-12,1196.47998,0.0211722305,0.0066839068,-0.005876707,3.1537162896,1172.26234448,-0.0062647754,0.0054229935,5.29,0.0020679516,-0.0004605158,-0.0007272106,3.72,0.98,0.0,-0.68
2010-04-13,1197.300049,0.1728835339,0.0017666092,0.0033743415,2.7011252611,1174.64688777,-0.0032116094,-0.0090614887,5.26,0.00057782,0.0087544001,-0.0007276234,3.69,0.98,0.04,-0.09
2010-04-14,1210.650024,0.0659673772,0.0006854014,0.0066839068,3.1068736753,1178.07575789,0.0217183771,0.0047898977,5.31,0.013447172,-0.0028928441,-0.0007282697,3.73,0.97,1.13,-0.41
2010-04-15,1211.670044,0.0408486747,0.0111500664,0.0017666092,3.7637510783,1181.27521371,-0.0043214202,0.0006500542,5.31,0.0131466602,0.0003054512,-0.0051012825,3.7,0.97,0.17,0.36
2010-04-16,1192.130005,0.3524643347,0.0008425391,0.0006854014,2.2646775371,1182.30900336,-0.026744868,-0.0025985275,5.25,-0.0061064115,-0.0074798502,-0.0048344856,3.64,0.97,-1.51,0.45
2010-04-19,1197.52002,-0.1863150508,-0.0161265347,0.0111500664,2.6513217927,1183.75767161,-0.0174761962,-0.0132435953,5.28,-0.001333848,0.0155337134,0.0044163551,3.68,0.97,0.44,0.21
2010-04-20,1207.170044,-0.1941801283,0.0045213315,0.0008425391,2.8937517123,1185.98742136,0.0179097154,0.0074807481,5.27,-0.010037649,-0.0006058004,0.0108456393,3.68,0.95,0.84,0.04
2010-04-21,1205.939941,0.0766882532,0.0080583404,-0.0161265347,2.7845185203,1187.88766132,-0.0024102193,-0.0015287181,5.2,0.0598143825,-0.0090922718,-0.0007249964,3.63,0.95,-0.41,0.16
2010-04-22,1208.670044,0.0544117981,-0.0010189973,0.0045213315,3.3554798652,1189.86693587,0.0013288234,-0.0080927384,5.23,0.0279684859,-0.0093286437,-0.0052234476,3.65,0.95,0.1,0.5
2010-04-23,1217.280029,-0.1175854653,0.0022638797,0.0080583404,3.3256984805,1192.47770664,0.0174930631,0.0050716648,5.26,0.0163620636,0.0040136154,0.00991832,3.7,0.95,0.87,-0.22
2010-04-26,1212.050049,0.060401122,0.0071235198,-0.0010189973,2.0725349679,1194.34173925,-0.0016599478,0.0131636683,5.27,-0.004910804,-0.0043050276,0.0007221693,3.69,0.94,-0.33,0.13
2010-04-27,1183.709961,0.3199109027,-0.0042964477,0.0022638797,-0.4817376483,1193.32918894,-0.0210213777,-0.0043308792,5.15,-0.0276809351,-0.0074120288,-0.0147207964,3.57,0.95,-2.26,0.86
2010-04-28,1191.359985,-0.1492016945,-0.0233819453,0.0071235198,0.75352314,1193.1416457,0.0095838894,0.0100043497,5.24,-0.0016790758,0.0052894214,0.0134759783,3.66,0.94,0.76,0.27
2010-04-29,1206.780029,-0.0446051991,0.0064627521,-0.0042964477,1.7143799106,1194.44053935,0.0234318673,0.004952627,5.19,0.0269113338,0.0060352674,-0.0076600374,3.61,0.94,1.28,-0.45
2010-04-30,1186.689941,-0.0018401131,0.0129432281,-0.0233819453,-0.6430213445,1193.70238713,0.0105671011,0.0107135205,5.13,-0.0281045145,-0.010921381,-0.0129625247,3.55,0.94,-1.8,-0.21
2010-05-03,1202.26001,-0.1835585772,-0.0166476802,0.0064627521,0.4830862277,1194.51739883,0.001394214,-1.0,5.15,0.0201462399,0.0160186462,0.0010328907,3.58,0.94,1.27,0.5
2010-05-04,1173.599976,0.3354907301,0.0131205873,0.0129432281,-1.979459787,1192.52526332,-0.0401438682,0.0,5.06,-0.0287966893,-0.0096434254,-0.020194503,3.48,0.95,-2.17,1.24
2010-05-05,1165.869995,0.0305122886,-0.0238384657,-0.0166476802,-3.6988417885,1189.98666634,-0.0329989121,-0.0168776371,5.03,-0.0103989294,0.0068006495,-0.0045133593,3.44,0.95,-0.72,0.94
2010-05-06,1128.150024,0.5623754771,-0.0065865552,0.0131205873,-6.8929673069,1184.09746231,-0.03525,0.0173819742,4.8,-0.0380484003,-0.0267116522,-0.0344566884,3.35,1.02,-3.57,1.01
2010-05-07,1110.880005,-0.1078282621,-0.0323534967,-0.0238384657,-6.8155318346,1177.12437113,-0.026949987,0.0143429656,4.95,-0.0421928464,-0.0014195741,-0.0029738301,3.37,1.05,-1.38,-0.46
2010-05-10,1159.72998,-0.2722721951,-0.0153082645,-0.0065865552,-3.1556917103,1175.46776246,0.0238348868,-0.0047826991,5.07,0.0768676327,0.0227452058,0.0240188693,3.44,1.03,4.47,-0.39
2010-05-11,1155.790039,-0.1524798004,0.0439741239,-0.0323534967,-4.2562359177,1173.59369355,-0.0067629081,0.021730046,5.09,0.0099610063,-0.0012355521,-0.0118044453,3.41,1.05,-0.37,0.33
2010-05-12,1171.670044,-0.1056199776,-0.0033972917,-0.0153082645,-2.8417581867,1173.41048884,-0.0094277858,0.0122699387,5.13,0.0217137262,0.0035565797,0.0069811512,3.4,1.04,1.52,0.43
2010-05-13,1157.439941,-0.067902156,0.013739524,0.0439741239,-4.2385515596,1171.88948428,-0.0167878387,0.0,5.11,-0.0142317218,-0.0035439752,-0.0026191032,3.4,1.04,-1.11,0.44
2010-05-14,1135.680054,0.2578223806,-0.0121451454,-0.0033972917,-6.7034678181,1168.44096711,-0.0372411939,-0.0008080808,4.97,-0.0175724756,-0.0108241383,-0.0176088977,3.29,1.06,-1.86,1.04
2010-05-17,1136.939941,-0.0332136328,-0.0188000139,0.013739524,-6.1969477302,1165.44086939,-0.021365731,-0.0004043672,4.99,0.0015759515,-0.0014069095,-0.005188648,3.31,1.07,-0.07,0.17
2010-05-18,1120.800049,0.0418577323,0.0011093679,-0.0121451454,-5.3146390647,1161.18936268,-0.0099885845,-0.0155744337,4.89,-0.0073164348,-0.01424546,-0.0075865181,3.21,1.1,-1.39,1.08
2010-05-19,1115.050049,0.0964147507,-0.0141959055,-0.0188000139,-6.4052794253,1156.79514233,0.0076390891,-0.017875488,4.88,-0.0159296871,-0.0119104334,-0.0054148749,3.19,1.13,-0.78,-0.88
2010-05-20,1071.589966,0.2309808153,-0.0051302639,0.0011093679,-11.2025439393,1148.68036363,-0.0233156916,-0.0025104603,4.83,-0.0426028681,-0.026840276,-0.0339471412,3.08,1.16,-3.6,-0.96
2010-05-21,1087.689941,-0.3453702136,-0.0389759034,-0.0141959055,-8.3425330054,1142.87175195,-0.0036613943,-0.0102768456,4.78,0.0191789874,0.0054500744,0.0091165089,3.03,1.18,1.36,-0.2
2010-05-24,1073.650024,-0.0418350259,0.0150243801,-0.0051302639,-10.6973520645,1136.27920643,0.0029398795,0.0061453698,4.83,0.0183228587,-0.0050920006,-0.011333804,3.07,1.19,-1.24,0.94
2010-05-25,1074.030029,0.4030482156,-0.012908014,-0.0389759034,-8.4841469867,1130.35071335,-0.0505642679,0.0094776748,4.77,-0.0062408254,-0.0036321942,-0.0079747468,3.02,1.22,0.19,0.64
2010-05-26,1067.949951,-0.3831774808,0.0003539375,0.0150243801,-8.3988819011,1124.4077836,0.1040444582,0.0114750678,4.89,-0.0045265924,-0.011433273,-0.006699012,3.05,1.19,-1.1,0.4
2010-05-27,1103.060059,0.2604284403,-0.0056609944,-0.012908014,-2.2239918864,1122.37466697,0.0425055928,-0.0008250825,5.04,0.0378517894,-0.0105598558,0.0362501764,3.18,1.19,3.75,-1.1
2010-05-28,1089.410034,-0.1451708005,0.0328761736,0.0003539375,-1.9326993828,1119.23517812,-0.0075107296,-0.0028901734,5.01,0.0139333575,-0.0123665935,-0.0162707455,3.16,1.19,-1.14,0.35
2010-06-01,1070.709961,0.082170549,-0.0123746888,-0.0056609944,-7.6759263393,1114.61372887,-0.0175675676,0.0167701863,4.95,0.0153768097,0.007890206,-0.0200132157,3.15,1.26,-1.75,0.06
2010-06-02,1098.380005,-0.0464992753,-0.0171653211,0.0328761736,-4.9671680896,1113.06765993,0.0024759285,-0.0103848503,5.02,0.0119617796,0.0165078631,0.0256540084,3.22,1.24,2.55,0.18
2010-06-03,1102.829956,-0.0060461248,0.0258427072,-0.0123746888,-5.8753817555,1112.09264051,0.0238748628,0.0,5.05,-0.0031445502,0.0006696802,0.0129998519,3.26,1.26,0.62,0.38
2010-06-04,1064.880005,0.2371131132,0.0040513766,-0.0171653211,-7.9969536838,1107.59619903,-0.042749933,-0.0094650206,4.88,-0.0272118359,-0.0294462439,-0.0329759904,3.08,1.27,-3.4,1.26
2010-06-07,1050.469971,-0.1153645774,-0.0344114256,0.0258427072,-7.5030007527,1102.15560588,0.0016799664,0.0095554632,4.89,-0.0196124698,-0.0001723496,-0.0038635983,3.07,1.28,-1.69,0.17
2010-06-08,1062.0,0.1326350328,-0.013532073,0.0040513766,-6.5913720063,1098.33126247,0.0046121593,0.0255144033,4.86,-0.0064158762,0.0110344655,0.0327150596,3.08,1.31,1.07,0.01
2010-06-09,1055.689941,-0.0338379557,0.0109760672,-0.0344114256,-5.8092527796,1094.27018423,0.0347801892,-0.0100321027,4.88,-0.0245858537,-0.008015024,-0.0197583762,3.12,1.32,-0.35,-0.6
2010-06-10,1086.839966,-0.1401290279,-0.0059416751,-0.013532073,-2.5299387257,1093.5625444,0.0147889218,-0.0129712201,5.0,0.0300575436,0.0056730619,0.0309845083,3.27,1.34,2.68,-0.88
2010-06-11,1091.599976,-0.2109905574,0.0295067934,0.0109760672,1.8673196498,1093.37563312,-0.0210651828,0.0020533881,4.89,0.0119755295,-0.0006837778,-0.0004846987,3.2,1.39,0.51,0.4
2010-06-14,1089.630005,0.0902992649,0.0043796788,-0.0059416751,0.1783655366,1093.01890664,0.0148869942,0.0030737705,4.96,0.0030373556,-0.0006842456,-0.0079211444,3.26,1.38,0.11,-1.17
2010-06-15,1115.22998,0.0494054223,-0.0018046638,0.0295067934,3.8727662712,1095.13424696,0.024669956,0.0010214505,4.99,0.0212757828,0.0123245639,0.0185758354,3.29,1.38,2.11,-0.24
2010-06-16,1114.609985,0.0771042676,0.0234941906,0.0043796788,3.7782887726,1096.98907915,0.0108016658,0.007755102,4.96,0.0291115787,0.0016909537,0.0,3.21,1.38,0.04,0.12
2010-06-17,1116.040039,-0.0889217607,-0.0005559347,-0.0018046638,4.503028251,1098.80345628,-0.0109437363,0.0085054678,4.86,0.0172871849,-0.0010128629,0.0014397697,3.16,1.39,0.2,-0.47
2010-06-18,1117.51001,-0.0005265745,0.0012830084,0.0234941906,1.3099876913,1100.58503282,0.0046862796,0.0088353414,4.87,0.0080921877,0.0,0.0079872207,3.2,1.41,0.23,0.0
2010-06-21,1113.199951,-0.0090003864,0.0013171311,-0.0005559347,2.1837431507,1101.7864536,0.0085514382,-0.0011942675,4.89,-0.0142299698,-0.0008448631,0.0004754834,3.22,1.39,-0.74,0.3
2010-06-22,1095.310059,4.43030684305e-06,-0.0038568415,0.0012830084,2.2975501206,1101.16965412,-0.0088643371,-0.0147469111,4.82,0.0136210458,0.0005073398,-0.0188500235,3.1,1.4,-1.8,0.2
2010-06-23,1092.040039,0.002607224,-0.0160706906,0.0013171311,-0.5772106166,1100.30016696,-0.0162022035,-0.0076860841,4.82,-0.0105167426,0.0013522989,-0.0135615275,3.06,1.36,-0.28,-0.42
2010-06-24,1073.689941,0.0637804757,-0.0029854743,-0.0038568415,-2.6422944754,1097.76585973,0.0007905138,0.0079494497,4.85,-0.0072701888,0.0060769073,-0.0168575783,3.07,1.37,-1.56,-0.03
2010-06-25,1076.76001,0.0652172559,-0.0168035029,-0.0160706906,1.1156191256,1095.76530261,0.0327804107,0.0143579373,4.83,-0.0085502011,-0.0151006213,-0.0161478608,3.08,1.38,0.4,-0.51
2010-06-28,1074.569946,-0.2402941016,0.0028593627,-0.0029854743,2.2942088461,1093.74669722,-0.0024219248,0.0055821372,4.78,0.0059992917,0.0127768311,-0.0106598481,2.99,1.37,-0.35,0.4
2010-06-29,1041.23999,0.5749625938,-0.0020339388,-0.0168035029,-1.9548032015,1088.74605844,-0.029772553,-0.0210150674,4.71,-0.0452105559,-0.0035323633,-0.0201812892,2.88,1.38,-3.34,0.49
2010-06-30,1030.709961,-0.1742988903,-0.0310170186,0.0028593627,-2.3662231712,1083.21881106,-0.0044778085,0.0076954232,4.66,-0.0181129676,-0.0030385043,-0.0038401291,2.8,1.39,-0.85,-0.07
2010-07-01,1027.369995,0.2701141486,-0.0101129702,-0.0020339388,-5.4718240827,1077.8998762,-0.0349252547,-0.0080385852,4.62,-0.0121258098,0.0001693024,-0.0080602593,2.8,1.36,-0.46,-1.51
2010-07-02,1022.580017,-0.3833682683,-0.0032404519,-0.0310170186,-6.3228252581,1072.63131818,-0.0122001371,-0.0263371151,4.69,-0.0061977101,0.0001693245,-0.0007066066,2.84,1.35,-0.73,-0.36
2010-07-06,1028.060059,0.1821191886,-0.004662369,-0.0101129702,-5.6505369453,1068.38643635,-0.0013877324,-0.0054099043,4.64,0.0068437517,0.0,0.0157327028,2.78,1.36,0.99,-0.65
2010-07-07,1060.27002,0.0511549185,0.0053590349,-0.0032404519,-4.9281279185,1067.61344432,0.0290439133,-0.0014644351,4.71,0.0403813554,0.0258970709,0.0168813264,2.83,1.37,3.42,-0.32
2010-07-08,1070.25,-0.0776197371,0.0313308164,-0.004662369,-3.9798661054,1067.86454486,0.0190411884,0.0002095118,4.75,-0.0022422894,0.012704174,0.0065035256,2.87,1.36,0.73,0.0
2010-07-09,1077.959961,-0.2290643427,0.0094126777,0.0053590349,-3.4120709535,1068.82601306,0.0082162735,0.012777545,4.79,0.0059281531,-0.0136852393,-0.0005101513,2.91,1.35,0.52,0.13
2010-07-12,1078.75,-0.022694542,0.0072038879,0.0313308164,-3.4684262023,1069.77115468,-0.0151156677,-0.002688728,4.79,-0.0089746248,-0.0054509745,0.0027220143,2.92,1.34,0.37,0.31
2010-07-13,1095.339966,0.354092075,0.000732902,0.0094126777,-1.6043824817,1072.20627957,0.0297611104,0.0087100788,4.86,-0.021337798,0.0048164924,0.0081438583,2.99,1.32,1.23,-0.7
2010-07-14,1095.170044,-0.0257323627,0.0153788793,0.0072038879,-0.0127831383,1074.39330475,-0.0018144116,-0.0074013158,4.76,0.0036934314,0.0019834545,-0.0026926962,2.91,1.33,0.11,-0.26
2010-07-15,1096.47998,0.006949713,-0.0001551317,0.000732902,0.4065730964,1076.49679763,-0.0045442742,0.0008285004,4.68,-0.0050646895,-0.0059386507,0.0001687816,2.84,1.34,-0.05,-1.03
2010-07-16,1064.880005,0.1636210672,0.0011961028,0.0153788793,-0.8205288756,1075.39043643,-0.0092604669,-0.0155215232,4.67,-0.0061642314,-0.0136076838,-0.0221022608,2.82,1.33,-2.52,-0.1
2010-07-19,1071.25,-0.2280102315,-0.0288194728,-0.0001551317,-0.5117212702,1074.99610915,0.0075039494,-0.0069371453,4.7,-0.0172868903,0.0021870963,0.0081090581,2.84,1.33,0.07,0.05
2010-07-20,1083.47998,0.1525320944,0.00598189,0.0011961028,0.8291720826,1075.80409685,0.0103227492,0.0016934801,4.68,0.0256942571,-0.01661907,0.008899555,2.82,1.29,1.53,0.28
2010-07-21,1069.589966,0.0071924435,0.0114165508,-0.0288194728,2.7227129454,1075.21227486,-0.0135799276,0.0071851226,4.61,0.0093294331,-0.0249232323,-0.0132316028,2.74,1.27,-1.48,0.8
2010-07-22,1093.670044,0.0167931277,-0.012819816,0.00598189,6.108418991,1076.97015764,0.0359250033,0.0067142258,4.7,0.0188011289,-0.0017506828,0.0208011525,2.81,1.23,2.23,-0.97
2010-07-23,1102.660034,-0.062634403,0.0225133731,0.0114165508,7.3284249459,1079.41681253,-0.0041766865,-0.0075031263,4.74,0.0035518338,0.0106980182,0.0057258335,2.87,1.23,1.17,-0.18
2010-07-26,1115.01001,-0.1138052898,0.0082200203,-0.012819816,9.038900767,1082.80664086,0.0031774276,-0.0058798824,4.74,-0.0025390014,0.0019087454,0.0112189884,2.88,1.21,0.82,-0.47
2010-07-27,1113.839966,0.1785791777,0.0112001665,0.0225133731,8.3438614553,1085.76219564,-0.0186240973,-0.0130967469,4.81,0.0185128235,0.0062347764,0.0069548271,2.92,1.17,0.14,0.11
2010-07-28,1106.130005,-0.1530570139,-0.0010493574,0.0082200203,4.3253118673,1087.701987,-0.0051639556,-0.0094178082,4.76,-0.011814673,-0.0046470914,0.0016444499,2.88,1.19,-0.81,-0.02
2010-07-29,1101.530029,0.1524164312,-0.0069219648,0.0112001665,2.9226843261,1089.01894338,0.0160913574,0.0047536733,4.8,-0.0109212181,0.0,-0.0093580693,2.88,1.15,-0.45,-0.68
2010-07-30,1101.599976,-0.1313778884,-0.0041586215,-0.0010493574,2.1930327522,1090.21713697,0.0070242656,0.0055913978,4.7,-0.0033318819,0.0044959016,-0.0109380179,2.8,1.15,0.11,-0.11
2010-08-02,1125.859985,0.034377067,6.34998576148e-05,-0.0069219648,4.3670901506,1093.61169392,0.0304375396,0.0166809239,4.78,0.0178814422,0.0108452574,0.037868616,2.85,1.11,2.14,-0.73
2010-08-03,1120.459961,-0.0174606315,0.0220225214,-0.0041586215,2.2933514507,1096.16867174,0.0156307692,-0.0008413967,4.73,0.0003055031,0.0107288316,0.0125928643,2.79,1.13,-0.31,-0.47
